Unnamed: 0,year,quarter,title,studio,castcrew,link_en,dates_raw,date_us,date_jp,delay
24,1994,Q1,China Moon,Orion Pictures,"John Bailey (director); Roy Carlson (screenplay); Ed Harris, Madeleine Stowe, Benicio del Toro, Charles Dance, Patricia Healy, Tim Powell, Pruitt Taylor Vince",China_Moon,{{flagicon|USA}} 1994年3月4日<br/> {{flagicon|JPN}} 未公開,1994-03-04,,
25,1994,Q1,Greedy,Universal Pictures / Imagine Entertainment,"Jonathan Lynn (director); Lowell Ganz, Babaloo Mandel (screenplay); Michael J. Fox, Kirk Douglas, Nancy Travis, Olivia d'Abo, Phil Hartman, Ed Begley Jr., Jere Burns, Colleen Camp, Bob Balaban, Joyce Hyser, Mary Ellen Trainor, Siobhan Fallon, Kevin McCarthy, Khandi Alexander, Jonathan Lynn, Francis X. McCarthy, Tom Mason, Kirsten Dunst",Greedy_(film),{{flagicon|USA}} 1994年3月4日<br /> {{flagicon|JPN}} 劇場未公開,1994-03-04,,
26,1994,Q1,Four Weddings and a Funeral,Gramercy Pictures / PolyGram Filmed Entertainment,"Mike Newell (director); Richard Curtis (screenplay); Hugh Grant, Andie MacDowell, James Fleet, Simon Callow, John Hannah, Kristin Scott Thomas, David Bower, Charlotte Coleman, Timothy Walker, Sara Crowe, Rowan Atkinson, David Haig, Sophie Thompson, Corin Redgrave, Anna Chancellor, Rupert Vansittart",Four_Weddings_and_a_Funeral,{{flagicon|GBR}} 1994年5月13日<br /> {{flagicon|JPN}} 1994年10月8日,,1994-10-08,
27,1994,Q1,Guarding Tess,TriStar Pictures,"Hugh Wilson (director/screenplay); Peter Torokvei (screenplay); Shirley MacLaine, Nicolas Cage, Austin Pendleton, Edward Albert, James Rebhorn, Richard Griffiths, John Roselius, David Graf, Don Yesso, James Lally, Brant von Hoffman, Harry J. Lennix, Susan Blommaert, Dale Dye, James Handy, Hugh Wilson",Guarding_Tess,{{flagicon|USA}} 1994年3月11日<br /> {{flagicon|JPN}} 1995年1月14日,1994-03-11,1995-01-14,309.0
28,1994,Q1,The Hudsucker Proxy,Warner Bros. Pictures / Silver Pictures,"Joel Coen, Ethan Coen (directors/screenplay); Tim Robbins, Jennifer Jason Leigh, Paul Newman, Jim True, Bill Cobbs, Harry Bugin, Bruce Campbell, John Mahoney, Charles Durning, Patrick Cranshaw, Anna Nicole Smith, Steve Buscemi, Sam Raimi, Jon Polito, John Goodman",The_Hudsucker_Proxy,{{flagicon|USA}} 1994年1月 (サンダンス映画祭)<br /> {{flagicon|USA}} 1994年3月11日<br /> {{flagicon|JPN}} 1995年1月14日,1994-03-11,1995-01-14,309.0
29,1994,Q1,Lightning Jack,Savoy Pictures,"Simon Wincer (director); Paul Hogan (screenplay); Paul Hogan, Cuba Gooding Jr., Beverly D'Angelo, Kamala Lopez, Pat Hingle, L.Q. Jones, Richard Riehle, Frank McRae, Roger Daltrey, Max Cullen",Lightning_Jack,no_ja,,,
30,1994,Q1,The Ref,Touchstone Pictures / Don Simpson/Jerry Bruckheimer Films,"Ted Demme (director); Richard LaGravenese, Marie Weiss (screenplay); Denis Leary, Judy Davis, Kevin Spacey, Robert J. Steinmiller Jr., Glynis Johns, Raymond J. Barry, Richard Bright, Christine Baranski, Adam LeFevre, Phillip Nicoll, Ellie Raab, Bill Raymond, John Scurti, Jim Turner, Edward Saxon, Kenneth Utt, Robert Ridgely, J.K. Simmons",The_Ref,no_ja,,,
31,1994,Q1,Bitter Moon,Fine Line Features,"Roman Polanski (director/screenplay); Gerard Brach, John Brownjohn (screenplay); Peter Coyote, Emmanuelle Seigner, Hugh Grant, Kristin Scott Thomas, Victor Banerjee, Stockard Channing",Bitter_Moon,{{flagicon|UK}} 1992年7月12日<br /> {{flagicon|JPN}} 1993年2月6日,,1993-02-06,
32,1994,Q1,Monkey Trouble,New Line Cinema,"Franco Amurri (director); Franco Amurri, Stu Drieger (screenplay); Thora Birch, Harvey Keitel, Mimi Rogers, Christopher McDonald, Alison Elliott, Remy Ryan, Jo Champa, Deborah White, Adam LaVorgna, Robert Miranda, Victor Argo, Kevin Scannell, Robert A. Perry, Adrian and Julian Johnson, Frank Welker",Monkey_Trouble,no_ja,,,
33,1994,Q1,Naked Gun ​33 1⁄3: The Final Insult,Paramount Pictures,"Peter Segal (director); Pat Proft, David Zucker, Robert LoCash (screenplay); Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson, Fred Ward, Kathleen Freeman, Anna Nicole Smith, Ellen Greene, Ed Williams, Raye Birk, James Earl Jones, Olympia Dukakis, Raquel Welch, Joe Grifasi, Bill Erwin, ""Weird Al"" Yankovic, Vanna White, Pia Zadora, Mary Lou Retton",Naked_Gun_33%E2%85%93:_The_Final_Insult,no_ja,,,
34,1994,Q1,The Paper,Universal Pictures / Imagine Entertainment,"Ron Howard (director); David Koepp, Stephen Koepp (screenplay); Michael Keaton, Glenn Close, Marisa Tomei, Randy Quaid, Robert Duvall, Jason Robards, Jason Alexander, Spalding Gray, Catherine O'Hara, Lynne Thigpen, Jack Kehoe, Roma Maffia, Amelia Campbell, Clint Howard, Geoffrey Owens, Jill Hennessy, William Prince, Augusta Dabney, Bruce Altman, David J. Birnbach",The_Paper_(film),{{flagicon|USA}} 1994年3月18日<br /> {{flagicon|JPN}} 1995年5月20日,1994-03-18,1995-05-20,428.0
35,1994,Q1,Above the Rim,New Line Cinema,"Jeff Pollack (director/screenplay); Barry Michael Cooper (screenplay); Duane Martin, Leon Robinson, Tupac Shakur, Marlon Wayans, Bernie Mac, David Bailey, Tonya Pinkins, Wood Harris, Shawn Michael Howard, Henry Simmons, Matthew Guletz, Michael Rispoli, Eric Nies, Byron Minns, Bill Raftery, James Williams, Pee Wee Kirkland, John Thompson",Above_the_Rim,no_ja,,,
36,1994,Q1,D2: The Mighty Ducks,Walt Disney Pictures,"Sam Weisman (director); Steven Brill (screenplay); Emilio Estevez, Kathryn Erbe, Michael Tucker, Jan Rubes, Carsten Norgaard, Maria Ellingsen, Joshua Jackson, Elden Henson, Shaun Weiss, Brandon Adams, Matt Doherty, Vincent Larusso, Garette Ratliff Henson, Marguerite Moreau, Colombe Jacobsen, Aaron Lohr, Ty O'Neal, Kenan Thompson, Mike Vitar, Justin Wong, Scott Whyte",D2:_The_Mighty_Ducks,{{flagicon|USA}} 1994年3月25日<br /> {{flagicon|JPN}} 1995年1月21日,1994-03-25,1995-01-21,302.0
37,1994,Q1,Against the Wall,HBO Pictures,"John Frankenheimer (director); Ron Hutchinson (screenplay); Kyle MacLachlan, Samuel L. Jackson, Clarence Williams III, Frederic Forrest, Harry Dean Stanton, Philip Bosco, Tom Bower, Anne Heche, Carmen Argenziano, Peter Murnik, Steve Harris, David Ackroyd, Mark Cabus, Bruce Evers, Joey Anderson, Bud Davis, Danny Drew, Jeffrey Ford, Denis Forest, Juan García, Danny Trejo",Against_the_Wall_(1994_film),no_ja,,,
38,1994,Q1,Jimmy Hollywood,Paramount Pictures,"Barry Levinson (director/screenplay); Joe Pesci, Christian Slater, Victoria Abril, Robert LaSardo, Earl Billings, Jason Beghe, Rob Weiss, Chad McQueen, Barry Levinson",Jimmy_Hollywood,no_ja,,,
39,1994,Q1,Major League II,Warner Bros. Pictures / Morgan Creek Productions,"David S. Ward (director/screenplay); R.J. Stewart, Tom S. Parker, Jim Jennewein (screenplay); Charlie Sheen, Tom Berenger, Corbin Bernsen, Dennis Haysbert, James Gammon, Omar Epps, Bob Uecker, David Keith, Takaaki Ishibashi, Margaret Whitton, Eric Bruskotter, Alison Doody, Michelle Burke, Rene Russo, Jay Leno, Randy Quaid, Richard Schiff, Jesse Ventura, Steve Yeager, Kevin Hickey",Major_League_II,{{flagicon|USA}} 1994年3月30日<br/> {{flagicon|JPN}} 1994年6月11日,1994-03-30,1994-06-11,73.0
40,1994,Q1,Thumbelina,Warner Bros. Pictures / Don Bluth Entertainment,"Don Bluth, Gary Goldman (directors); Jodi Benson, Gary Imhoff, Joe Lynch, Gino Conforti, Gilbert Gottfried, Carol Channing, John Hurt, Barbara Cook, Charo, Kenneth Mars, June Foray, Will Ryan, Danny Mann, Loren Lester, Pat Musick, Neil Ross, Tawny Sunshine Glover, Michael Nunes, Kendall Cunningham",Thumbelina_(1994_film),no_dates,,,
0,1994,Q2,Clifford,Orion Pictures,"Paul Flaherty (director); Jay Dee Rock, Bobby Von Hayes (screenplay); Martin Short, Charles Grodin, Mary Steenburgen, Dabney Coleman, Richard Kind, Jennifer Savidge, Ben Savage, Don Galloway, Tim Lane, Timothy Stack, Marianne Muellerleile, G.D. Spradlin, Anne Jeffreys, Richard Fancy",Clifford_(film),no_ja,,,
1,1994,Q2,The House of the Spirits,Miramax Films,"Bille August (director/screenplay); Meryl Streep, Jeremy Irons, Glenn Close, Winona Ryder, Antonio Banderas, Vanessa Redgrave, Armin Mueller-Stahl, María Conchita Alonso, Vincent Gallo, Jan Niklas, Teri Polo, Grace Gummer",The_House_of_the_Spirits_(film),{{flagicon|GER}} 1993年10月17日<br /> {{flagicon|DEN}} 1993年12月17日<br /> {{flagicon|POR}} 1994年1月7日<br /> {{flagicon|USA}} 1994年4月1日<br /> {{flagicon|JPN}} 1994年5月14日,1994-04-01,1994-05-14,43.0
2,1994,Q2,Holy Matrimony,Hollywood Pictures / Interscope Communications,"Leonard Nimoy (director); David Weisberg, Douglas S. Cook (screenplay); Patricia Arquette, Joseph Gordon-Levitt, Tate Donovan, Armin Mueller-Stahl, John Schuck, Lois Smith, Courtney B. Vance, Jeffrey Nordling, Richard Riehle, Mary Pat Gleason, Lori Alan",Holy_Matrimony_(1994_film),{{flagicon|USA}} 1994年4月8日<br /> {{flagicon|JPN}} 1995年6月10日,1994-04-08,1995-06-10,428.0
3,1994,Q2,Leprechaun 2,Trimark Pictures,"Rodman Flender (director); Turi Meyer, Al Septien (screenplay); Warwick Davis, Charlie Heath, Shevonne Durkin, Sandy Baron, Adam Biesk, James Lancaster, Linda Hopkins, Arturo Gil, Kimmy Robertson, Clint Howard, Andrew Craig, David Powledge, Billy Beck, Al White, Martha Hackett, Jonathan R. Perkins, Tony Cox, Mark Kiely, Michael James McDonald, Warren A. Stevens, Matthew Anderson, Dawn Comer, Barry Schwartz, Gabriella Sinclair, Danny Roque",Leprechaun_2,no_ja,,,
4,1994,Q2,Red Rock West,Roxie Releasing,"John Dahl (director/screenplay); Rick Dahl (screenplay); Nicolas Cage, Dennis Hopper, Lara Flynn Boyle, Timothy Carhart, J.T. Walsh, Dwight Yoakam, Robert Apel",Red_Rock_West,{{flagicon|FRA}} 1993年6月16日<br> {{flagicon|JPN}} 1993年10月30日<br> {{flagicon|USA}} 1994年04月08日<small>ハンプトン国際映画祭|HIFF</small>,1994-04-08,1993-10-30,-160.0
5,1994,Q2,Threesome,TriStar Pictures,"Andrew Fleming (director/screenplay); Lara Flynn Boyle, Stephen Baldwin, Josh Charles, Alexis Arquette, Martha Gehman, Mark Arnold, Michele Matheson, Joanne Baron",Threesome_(1994_film),no_dates,,,
6,1994,Q2,Naked in New York,Fine Line Features,"Daniel Algrant (director/screenplay); John Warren (screenplay); Eric Stoltz, Mary-Louise Parker, Ralph Macchio, Jill Clayburgh, Tony Curtis, Timothy Dalton, Kathleen Turner, Whoopi Goldberg, Lynne Thigpen, Roscoe Lee Browne, Paul Guilfoyle, Lisa Gay Hamilton, Chris Noth, Calista Flockhart, Arabella Field, Colleen Camp, Griffin Dunne, Luis Guzman, David Johansen, Eric Bogosian, Quentin Crisp, Burr Steers, Arthur Penn, William Styron, Marsha Norman, Richard Price",Naked_in_New_York,no_ja,,,
7,1994,Q2,Serial Mom,Savoy Pictures,"John Waters (director/screenplay); Kathleen Turner, Sam Waterston, Ricki Lake, Matthew Lillard, Scott Wesley Morgan, Walt MacPherson, Patricia Dunnock, Mink Stole, Mary Jo Catlett, Justin Whalin, Beau James, Patty Hearst, Lonnie Horsey, Traci Lords, Tim Caggiano, Jeff Mandon, Kim Swann, Kathy Fannon, Patsy Grady Abrams, Suzanne Somers, Joan Rivers, L7, Bess Armstrong, John Waters",Serial_Mom,{{flagicon|USA}} 1994年4月13日<br> {{flagicon|JPN}} 1995年4月29日,1994-04-13,1995-04-29,381.0
8,1994,Q2,Backbeat,Gramercy Pictures,"Iain Softley (director/screenplay); Michael Thomas, Stephen Ward (screenplay); Sheryl Lee, Stephen Dorff, Ian Hart, Gary Bakewell, Chris O'Neill, Scot Williams, Kai Wiesinger, Jennifer Ehle",Backbeat_(film),{{flagicon|GBR}} 1994年4月1日<br /> {{flagicon|JPN}} 1994年3月19日,,1994-03-19,
9,1994,Q2,Cops & Robbersons,TriStar Pictures,"Michael Ritchie (director); Lindsay Maher (screenplay); Chevy Chase, Jack Palance, Dianne Wiest, Robert Davi, Jason James Richter, David Barry Gray, Fay Masterson, Miko Hughes, Richard Romanus, Sal Landi, Jack Kehler, M. Emmet Walsh",Cops_%26_Robbersons,no_ja,,,
10,1994,Q2,Surviving the Game,New Line Cinema,"Ernest R. Dickerson (director); Dylan Brunson (screenplay); Ice-T, Rutger Hauer, Gary Busey, Charles S. Dutton, F. Murray Abraham, John C. McGinley, William McNamara, Jeff Corey",Surviving_the_Game,{{flagicon|USA}} 1994年4月15日<br /> {{flagicon|JPN}} 1994年8月20日,1994-04-15,1994-08-20,127.0
11,1994,Q2,White Fang 2: Myth of the White Wolf,Walt Disney Pictures,"Ken Olin (director); David Fallon (screenplay); Scott Bairstow, Charmaine Craig, Al Harrington, Anthony Ruivivar, Victoria Racimo, Alfred Molina, Geoffrey Lewis, Matthew Cowles, Ethan Hawke, Paul Coeur",White_Fang_2:_Myth_of_the_White_Wolf,{{flagicon|USA}} 1994年<br> {{flagicon|JPN}} 未公開,,,
12,1994,Q2,Bad Girls,20th Century Fox,"Jonathan Kaplan (director); Ken Friedman, Yolande Turner (screenplay); Madeleine Stowe, Mary Stuart Masterson, Andie MacDowell, Drew Barrymore, Dermot Mulroney, James Russo, James LeGros, Robert Loggia, Jim Beaver, Nick Chinlund, Harry Northup, Don Hood",Bad_Girls_(1994_film),{{flagicon|USA}} 1994年4月22日<br /> {{flagicon|JPN}} 1994年11月12日,1994-04-22,1994-11-12,204.0
13,1994,Q2,Brainscan,Triumph Films,"John Flynn (director); Brian Owens, Andrew Kevin Walker (screenplay); Edward Furlong, Frank Langella, T. Ryder Smith, Amy Hargreaves, Jamie Marsh, Tod Fennell",Brainscan,no_ja,,,
14,1994,Q2,Chasers,Warner Bros. Pictures / Morgan Creek Productions,"Dennis Hopper (director); Joe Batteer, John Rice, Dan Gilroy (screenplay); Tom Berenger, William McNamara, Erika Eleniak, Dean Stockwell, Crispin Glover, Dennis Hopper, Gary Busey, Seymour Cassel, Bitty Schram",Chasers,{{flagicon|USA}} 1994年4月22日<br /> {{flagicon|JPN}} 1994年10月22日,1994-04-22,1994-10-22,183.0
15,1994,Q2,The Inkwell,Touchstone Pictures,"Matty Rich (director); Trey Ellis, Paris Qualles (screenplay); Larenz Tate, Jada Pinkett, Joe Morton, Suzzanne Douglass, Glynn Turman, Vanessa Bell Calloway, Adrienne-Joi Johnson, Morris Chestnut, Duane Martin, Mary Alice, Phyllis Yvonne Stickney, Markus Redmond, Perry Moore, Akia Victor, Jade",The_Inkwell,no_ja,,,
16,1994,Q2,The Favor,Orion Pictures,"Donald Petrie (director); Sara Parriott, Josann McGibbon (screenplay); Harley Jane Kozak, Elizabeth McGovern, Bill Pullman, Brad Pitt, Ken Wahl, Ginger Orsi, Leigh Ann Orsi, Larry Miller",The_Favor_(1994_film),{{flagicon|USA}} 1994年4月29日<br /> {{flagicon|JPN}} 劇場未公開,1994-04-29,,
17,1994,Q2,No Escape,Savoy Pictures,"Martin Campbell (director); Michael Gaylin, Joel Gross (screenplay); Ray Liotta, Lance Henriksen, Stuart Wilson, Kevin Dillon, Kevin J. O'Connor, Don Henderson, Ian McNeice, Jack Shepherd, Michael Lerner, Ernie Hudson, Russell Kiefel, Brian M. Logan, Cheuk-Fai Chan, David Wenham, David Argue",No_Escape_(1994_film),{{flagicon|USA}} 1994年4月29日<br /> {{flagicon|JPN}} 1995年2月30日,1994-04-29,1995-02-25,302.0
18,1994,Q2,PCU,20th Century Fox,"Hart Bochner (director); Adam Leff, Zak Penn (screenplay); Jeremy Piven, David Spade, Chris Young, Jon Favreau, Alex Desert, Megan Ward, Matt Ross, Stivi Paskoski, Kevin Jubinville, Viveka Davis, Maddie Corman, Jake Busey, Jessica Walter, Colin Fox, George Clinton, Parliament-Funkadelic",PCU_(film),no_ja,,,
19,1994,Q2,When a Man Loves a Woman,Touchstone Pictures,"Luis Mandoki (director); Ronald Bass, Al Franken (screenplay); Andy García, Meg Ryan, Lauren Tom, Philip Seymour Hoffman, Tina Majorino, Mae Whitman, Ellen Burstyn",When_a_Man_Loves_a_Woman_(film),{{flagicon|USA}} 1994年4月29日<br /> {{flagicon|JPN}} 1994年9月3日,1994-04-29,1994-09-03,127.0
